#r11	r12	r13	r21	r22	r23	r31	r32	r33	tx	ty	tz
-0.319781	-0.115123	-0.940472	-0.476385	0.877542	0.0545619	0.819022	0.465474	-0.335464	82.4206	-188.704	878.694
-0.287733	-0.060977	-0.955767	-0.348377	0.936267	0.0451456	0.892101	0.345957	-0.290638	56.1294	-192.258	869.722
-0.247249	-0.0178126	-0.968788	-0.212555	0.976475	0.0362933	0.945351	0.214895	-0.245218	39.4211	-193.826	862.506
-0.153903	0.0100446	-0.988035	-0.0728374	0.997112	0.0214826	0.985398	0.0752722	-0.152727	5.4767	-194.89	853.888
-0.106076	0.014279	-0.994256	0.00203845	0.999898	0.0141425	0.994356	-0.000526562	-0.106094	-11.6026	-195.009	849.491
-0.057625	0.0160252	-0.99821	0.145668	0.989305	0.00747308	0.987654	-0.144976	-0.0593431	-38.542	-195.975	845.756
-0.0116368	0.00504162	-0.99992	0.286765	0.958	0.00149295	0.95793	-0.286725	-0.0125938	-55.3457	-195.381	838.432
0.0292571	-0.0178005	-0.999413	0.422272	0.906461	-0.00378324	0.905997	-0.421914	0.0340371	-72.7517	-192.935	831.045
0.0986325	-0.0804944	-0.991863	0.549602	0.835323	-0.0131371	0.829583	-0.543835	0.12663	-96.6806	-192.219	820.584
0.117868	-0.126962	-0.98488	0.66524	0.746445	-0.0166108	0.737268	-0.653223	0.172441	-120.468	-187.451	817.418
0.137289	-0.170057	-0.975824	0.72075	0.692925	-0.0193538	0.679464	-0.700668	0.2177	-136.069	-185.487	806.073
0.150768	-0.215703	-0.964749	0.772048	0.635205	-0.0213689	0.617423	-0.741611	0.262301	-150.808	-182.232	798.9
0.139466	-0.273477	-0.951714	0.856496	0.515656	-0.0226626	0.496955	-0.811978	0.306148	-170.805	-174.144	796.161
0.128194	-0.370581	-0.919911	0.922987	0.383947	-0.0260486	0.36285	-0.845727	0.391261	-189.817	-165.209	796.33
0.112943	-0.418312	-0.901254	0.949882	0.311561	-0.0255718	0.291492	-0.853197	0.432535	-200.348	-155.149	784.159
0.0914025	-0.464425	-0.880883	0.971096	0.237437	-0.0244197	0.220495	-0.85319	0.472704	-213.802	-143.927	777.358
0.0304854	-0.549177	-0.83515	0.995445	0.0921876	-0.024284	0.0903267	-0.830606	0.549486	-227.572	-132.168	778.886
